iter	Passed	Remaining
0	146	146756
1	149	74380
2	151	50264
3	154	38386
4	157	31265
5	158	26237
6	160	22731
7	161	19999
8	163	17948
9	164	16308
10	166	14971
11	169	13949
12	172	13085
13	173	12240
14	176	11583
15	178	10987
16	181	10471
17	183	9995
18	185	9566
19	187	9171
20	188	8807
21	191	8492
22	193	8205
23	194	7928
24	196	7669
25	198	7447
26	200	7239
27	202	7034
28	204	6848
29	206	6681
30	208	6528
31	210	6379
32	212	6240
33	214	6106
34	216	5956
35	217	5825
36	219	5717
37	221	5613
38	223	5506
39	225	5404
40	227	5315
41	229	5231
42	231	5145
43	232	5054
44	234	4980
45	236	4913
46	238	4835
47	240	4770
48	242	4709
49	244	4652
50	246	4581
51	248	4524
52	250	4471
53	252	4421
54	253	4354
55	255	4302
56	257	4257
57	259	4213
58	261	4165
59	262	4114
60	264	4070
61	266	4033
62	268	3992
63	270	3956
64	272	3921
65	274	3885
66	276	3847
67	277	3806
68	279	3774
69	281	3741
70	282	3701
71	284	3669
72	286	3642
73	288	3614
74	289	3574
75	291	3545
76	293	3520
77	295	3498
78	298	3476
79	300	3455
80	303	3438
81	304	3411
82	306	3382
83	308	3363
84	310	3343
85	312	3317
86	314	3302
87	317	3288
88	319	3269
89	321	3252
90	323	3232
91	325	3208
92	327	3189
93	328	3163
94	330	3146
95	331	3123
96	333	3107
97	335	3091
98	337	3072
99	338	3050
100	340	3034
101	342	3017
102	344	3002
103	346	2987
104	349	2975
105	350	2953
106	351	2935
107	353	2919
108	355	2906
109	357	2896
110	360	2885
111	362	2871
112	364	2857
113	365	2843
114	367	2827
115	369	2812
116	370	2797
117	372	2784
118	374	2772
119	375	2753
120	377	2741
121	378	2726
122	380	2711
123	384	2718
124	386	2705
125	388	2693
126	389	2679
127	391	2668
128	393	2659
129	395	2648
130	397	2637
131	399	2627
132	401	2615
133	403	2606
134	405	2599
135	407	2591
136	409	2579
137	411	2571
138	413	2562
139	415	2553
140	417	2545
141	419	2533
142	421	2525
143	423	2516
144	425	2508
145	427	2500
146	429	2491
147	431	2483
148	433	2475
149	435	2468
150	437	2459
151	439	2452
152	442	2447
153	443	2434
154	444	2421
155	445	2409
156	446	2397
157	447	2385
158	448	2372
159	449	2360
160	450	2345
161	450	2332
162	452	2323
163	454	2318
164	456	2307
165	457	2298
166	459	2291
167	461	2285
168	463	2278
169	465	2272
170	467	2267
171	469	2259
172	471	2255
173	473	2247
174	475	2241
175	477	2233
176	479	2228
177	481	2223
178	483	2216
179	485	2209
180	487	2204
181	488	2195
182	490	2188
183	491	2181
184	494	2178
185	496	2174
186	498	2167
187	501	2164
188	502	2157
189	505	2153
190	507	2148
191	509	2144
192	511	2139
193	513	2134
194	515	2127
195	516	2120
196	518	2114
197	519	2105
198	521	2099
199	523	2094
200	525	2090
201	527	2083
202	529	2079
203	532	2076
204	533	2067
205	535	2063
206	537	2058
207	539	2054
208	541	2049
209	543	2044
210	545	2040
211	547	2034
212	549	2028
213	551	2023
214	553	2019
215	555	2015
216	557	2011
217	559	2006
218	561	2003
219	563	1998
220	566	1995
221	568	1992
222	569	1985
223	570	1978
224	572	1971
225	574	1967
226	576	1963
227	578	1958
228	580	1953
229	582	1949
230	584	1944
231	585	1938
232	587	1933
233	589	1930
234	591	1926
235	593	1920
236	594	1913
237	596	1910
238	598	1907
239	601	1904
240	603	1901
241	605	1897
242	607	1891
243	609	1889
244	612	1886
245	615	1886
246	618	1885
247	620	1882
248	622	1877
249	625	1877
250	628	1874
251	630	1871
252	631	1865
253	633	1861
254	635	1856
255	636	1850
256	637	1843
257	642	1848
258	644	1842
259	646	1838
260	648	1834
261	649	1829
262	651	1825
263	652	1820
264	655	1816
265	656	1812
266	659	1809
267	661	1805
268	663	1802
269	665	1799
270	667	1794
271	669	1791
272	671	1787
273	673	1784
274	675	1780
275	677	1776
276	679	1772
277	681	1770
278	682	1763
279	683	1757
280	684	1751
281	687	1749
282	689	1746
283	691	1742
284	693	1740
285	696	1738
286	697	1733
287	700	1730
288	702	1727
289	704	1723
290	705	1720
291	708	1716
292	710	1714
293	712	1710
294	714	1707
295	716	1705
296	718	1701
297	720	1696
298	722	1693
299	724	1690
300	726	1686
301	728	1683
302	730	1680
303	732	1677
304	734	1674
305	736	1671
306	739	1668
307	741	1664
308	743	1661
309	745	1658
310	747	1656
311	749	1653
312	751	1650
313	754	1647
314	756	1644
315	758	1640
316	760	1637
317	762	1635
318	763	1630
319	766	1627
320	768	1625
321	770	1622
322	772	1620
323	775	1617
324	777	1614
325	779	1611
326	781	1608
327	783	1606
328	786	1603
329	788	1600
330	790	1597
331	792	1594
332	794	1591
333	797	1590
334	798	1585
335	800	1581
336	802	1578
337	804	1575
338	806	1572
339	811	1574
340	813	1572
341	815	1569
342	818	1567
343	820	1564
344	821	1560
345	823	1557
346	825	1554
347	828	1551
348	829	1547
349	831	1544
350	833	1541
351	835	1538
352	836	1533
353	838	1530
354	840	1527
355	842	1524
356	844	1520
357	846	1517
358	848	1514
359	850	1512
360	852	1509
361	854	1506
362	856	1503
363	858	1499
364	861	1499
365	863	1496
366	866	1493
367	868	1490
368	870	1488
369	872	1485
370	874	1482
371	876	1479
372	878	1477
373	880	1473
374	881	1469
375	883	1466
376	886	1464
377	887	1461
378	889	1457
379	891	1454
380	892	1450
381	893	1446
382	895	1442
383	897	1439
384	898	1435
385	900	1433
386	902	1430
387	904	1427
388	906	1424
389	908	1421
390	910	1418
391	912	1415
392	914	1412
393	916	1410
394	918	1407
395	921	1404
396	923	1402
397	925	1399
398	927	1396
399	929	1394
400	931	1391
401	933	1389
402	935	1386
403	937	1383
404	940	1381
405	942	1378
406	945	1377
407	947	1374
408	948	1369
409	948	1365
410	951	1362
411	952	1359
412	954	1356
413	957	1354
414	959	1352
415	961	1349
416	963	1347
417	965	1344
418	968	1342
419	970	1339
420	972	1336
421	974	1334
422	976	1331
423	978	1328
424	980	1326
425	982	1323
426	983	1320
427	985	1317
428	987	1314
429	990	1312
430	991	1309
431	993	1306
432	996	1304
433	998	1302
434	1000	1299
435	1002	1296
436	1004	1294
437	1006	1291
438	1008	1288
439	1010	1285
440	1012	1283
441	1013	1280
442	1016	1277
443	1018	1275
444	1020	1273
445	1022	1270
446	1024	1267
447	1027	1265
448	1029	1263
449	1031	1260
450	1033	1258
451	1035	1255
452	1037	1252
453	1039	1250
454	1042	1248
455	1049	1251
456	1051	1249
457	1053	1246
458	1055	1243
459	1057	1241
460	1059	1238
461	1061	1236
462	1064	1234
463	1066	1231
464	1068	1229
465	1070	1226
466	1072	1224
467	1074	1221
468	1077	1219
469	1079	1217
470	1081	1214
471	1083	1211
472	1085	1208
473	1086	1205
474	1087	1201
475	1088	1197
476	1090	1195
477	1093	1193
478	1095	1191
479	1096	1188
480	1098	1185
481	1100	1182
482	1102	1180
483	1104	1177
484	1105	1173
485	1107	1170
486	1109	1168
487	1111	1165
488	1113	1163
489	1115	1160
490	1117	1158
491	1119	1155
492	1120	1152
493	1122	1149
494	1125	1147
495	1127	1145
496	1129	1142
497	1131	1140
498	1133	1137
499	1135	1135
500	1136	1132
501	1138	1129
502	1140	1126
503	1141	1123
504	1143	1120
505	1145	1117
506	1147	1115
507	1149	1112
508	1150	1110
509	1153	1107
510	1155	1105
511	1157	1103
512	1159	1101
513	1162	1099
514	1165	1097
515	1168	1095
516	1170	1093
517	1173	1091
518	1175	1089
519	1177	1087
520	1180	1085
521	1182	1083
522	1185	1081
523	1187	1078
524	1190	1077
525	1193	1075
526	1194	1072
527	1197	1070
528	1200	1068
529	1202	1066
530	1203	1062
531	1205	1060
532	1207	1058
533	1209	1055
534	1211	1053
535	1214	1051
536	1216	1048
537	1218	1046
538	1221	1044
539	1224	1042
540	1226	1040
541	1229	1038
542	1232	1037
543	1240	1039
544	1243	1037
545	1245	1035
546	1247	1033
547	1250	1031
548	1252	1028
549	1254	1026
550	1257	1024
551	1258	1021
552	1260	1018
553	1262	1016
554	1265	1014
555	1266	1011
556	1268	1009
557	1271	1006
558	1273	1004
559	1275	1002
560	1278	1000
561	1280	998
562	1282	995
563	1285	993
564	1287	991
565	1289	988
566	1290	985
567	1291	982
568	1293	979
569	1294	976
570	1296	973
571	1297	970
572	1298	967
573	1299	964
574	1301	961
575	1303	959
576	1304	956
577	1305	953
578	1306	950
579	1307	946
580	1309	944
581	1310	941
582	1312	939
583	1314	936
584	1315	933
585	1318	931
586	1320	928
587	1322	926
588	1324	924
589	1326	921
590	1327	919
591	1329	916
592	1332	914
593	1333	911
594	1335	908
595	1337	906
596	1339	904
597	1341	901
598	1343	899
599	1344	896
600	1346	893
601	1348	891
602	1350	888
603	1351	886
604	1353	883
605	1355	881
606	1357	879
607	1359	876
608	1361	874
609	1363	871
610	1365	869
611	1366	866
612	1367	863
613	1368	860
614	1370	857
615	1371	855
616	1373	852
617	1374	849
618	1376	847
619	1378	844
620	1379	842
621	1381	839
622	1383	837
623	1385	834
624	1386	831
625	1388	829
626	1389	826
627	1391	824
628	1392	821
629	1394	818
630	1395	816
631	1398	814
632	1400	811
633	1401	809
634	1403	806
635	1405	804
636	1407	801
637	1409	799
638	1411	797
639	1413	795
640	1415	792
641	1417	790
642	1420	788
643	1422	786
644	1424	783
645	1426	781
646	1428	779
647	1430	776
648	1431	774
649	1433	772
650	1435	769
651	1437	767
652	1440	765
653	1442	763
654	1443	760
655	1446	758
656	1447	755
657	1450	753
658	1452	751
659	1454	749
660	1456	746
661	1457	744
662	1459	742
663	1462	739
664	1464	737
665	1466	735
666	1468	732
667	1469	730
668	1472	728
669	1474	726
670	1476	723
671	1478	721
672	1480	719
673	1481	716
674	1483	714
675	1485	712
676	1488	709
677	1490	707
678	1492	705
679	1494	703
680	1496	700
681	1498	698
682	1500	696
683	1502	693
684	1503	691
685	1506	689
686	1508	687
687	1510	684
688	1512	682
689	1514	680
690	1516	678
691	1518	676
692	1521	673
693	1523	671
694	1525	669
695	1527	667
696	1529	665
697	1531	662
698	1533	660
699	1535	658
700	1537	655
701	1539	653
702	1541	651
703	1543	649
704	1546	646
705	1548	644
706	1550	642
707	1552	640
708	1554	637
709	1555	635
710	1557	633
711	1559	630
712	1561	628
713	1563	626
714	1565	623
715	1567	621
716	1569	619
717	1572	617
718	1574	615
719	1576	612
720	1578	610
721	1580	608
722	1582	606
723	1585	604
724	1587	602
725	1589	600
726	1591	597
727	1593	595
728	1595	593
729	1597	590
730	1599	588
731	1601	586
732	1603	584
733	1605	581
734	1606	579
735	1608	576
736	1610	574
737	1613	572
738	1615	570
739	1617	568
740	1619	566
741	1621	563
742	1623	561
743	1625	559
744	1627	557
745	1629	554
746	1632	552
747	1634	550
748	1635	548
749	1637	545
750	1639	543
751	1642	541
752	1643	539
753	1645	537
754	1648	534
755	1649	532
756	1651	530
757	1653	527
758	1655	525
759	1657	523
760	1659	521
761	1662	519
762	1663	516
763	1665	514
764	1667	512
765	1670	510
766	1672	507
767	1674	505
768	1676	503
769	1678	501
770	1680	499
771	1682	496
772	1684	494
773	1686	492
774	1688	490
775	1690	488
776	1693	485
777	1695	483
778	1697	481
779	1699	479
780	1701	477
781	1703	475
782	1706	472
783	1708	470
784	1710	468
785	1713	466
786	1715	464
787	1717	461
788	1718	459
789	1719	457
790	1720	454
791	1722	452
792	1724	450
793	1726	447
794	1728	445
795	1730	443
796	1732	441
797	1734	439
798	1736	436
799	1739	434
800	1741	432
801	1744	430
802	1746	428
803	1748	426
804	1750	424
805	1752	421
806	1754	419
807	1756	417
808	1758	415
809	1760	412
810	1762	410
811	1764	408
812	1766	406
813	1768	404
814	1770	401
815	1772	399
816	1774	397
817	1775	395
818	1777	392
819	1780	390
820	1782	388
821	1783	386
822	1785	384
823	1788	381
824	1790	379
825	1792	377
826	1794	375
827	1796	373
828	1799	371
829	1801	368
830	1803	366
831	1804	364
832	1806	362
833	1808	360
834	1810	357
835	1812	355
836	1814	353
837	1816	351
838	1818	348
839	1820	346
840	1822	344
841	1824	342
842	1826	340
843	1829	338
844	1831	335
845	1832	333
846	1834	331
847	1836	329
848	1839	327
849	1840	324
850	1843	322
851	1845	320
852	1847	318
853	1849	316
854	1851	313
855	1853	311
856	1855	309
857	1857	307
858	1859	305
859	1861	303
860	1863	300
861	1865	298
862	1867	296
863	1868	294
864	1869	291
865	1870	289
866	1871	287
867	1873	284
868	1874	282
869	1875	280
870	1876	277
871	1877	275
872	1880	273
873	1883	271
874	1884	269
875	1886	267
876	1889	264
877	1891	262
878	1892	260
879	1894	258
880	1896	256
881	1899	254
882	1900	251
883	1902	249
884	1905	247
885	1906	245
886	1909	243
887	1912	241
888	1914	239
889	1916	236
890	1918	234
891	1921	232
892	1923	230
893	1925	228
894	1926	226
895	1928	223
896	1930	221
897	1932	219
898	1935	217
899	1937	215
900	1939	213
901	1941	210
902	1943	208
903	1946	206
904	1949	204
905	1950	202
906	1952	200
907	1954	198
908	1955	195
909	1957	193
910	1959	191
911	1961	189
912	1963	187
913	1965	184
914	1967	182
915	1969	180
916	1971	178
917	1973	176
918	1975	174
919	1977	171
920	1979	169
921	1982	167
922	1984	165
923	1985	163
924	1988	161
925	1990	159
926	1992	156
927	1994	154
928	1996	152
929	1998	150
930	2001	148
931	2003	146
932	2005	143
933	2007	141
934	2007	139
935	2009	137
936	2011	135
937	2013	133
938	2015	130
939	2017	128
940	2019	126
941	2020	124
942	2022	122
943	2024	120
944	2026	117
945	2028	115
946	2030	113
947	2032	111
948	2033	109
949	2035	107
950	2038	105
951	2040	102
952	2042	100
953	2044	98
954	2046	96
955	2048	94
956	2050	92
957	2052	89
958	2054	87
959	2056	85
960	2059	83
961	2061	81
962	2063	79
963	2064	77
964	2066	74
965	2068	72
966	2069	70
967	2071	68
968	2087	66
969	2089	64
970	2091	62
971	2093	60
972	2096	58
973	2098	56
974	2100	53
975	2102	51
976	2105	49
977	2107	47
978	2109	45
979	2111	43
980	2114	40
981	2116	38
982	2118	36
983	2120	34
984	2122	32
985	2124	30
986	2126	28
987	2128	25
988	2130	23
989	2132	21
990	2134	19
991	2137	17
992	2139	15
993	2141	12
994	2143	10
995	2145	8
996	2146	6
997	2148	4
998	2151	2
999	2153	0
